1;Dictionnaire
2;Magazine
3;Roman & Fictions
4;Bande Dessinée & Mangas
5;Manuel scolaire
6;Essai
7;Polar
8;Autre
9;Religions, spiritualité
10;Humour
11;Fantastique
12;Théâtre
13;Nouvelle
14;Horreur
15;Science-fiction
16;Poésie
17;dont vous êtes le héro
18;Extraits
19;Recueil de planches
20;Atlas
21;Brochure
22;Documents & Sciences
23;Mode d'emploi
24;Cuisine
25;Polycopié
26;Manuel
27;Revue
28;Abécédaire
29;Biographie
30;Annuaire
31;Esotérisme
32;Lexique
33;Loisirs
34;Sport
