id_Livre;Titre;Type_Ouvrage
217;Enseignement des présidents de l'Eglise;1
218;A structured english grammar course;2
219;Word Perfect vocabulary for fluency;2
220;Wordbuilder;2
221;L'enseignement pas de plus grand appel;2
222;O.K. Corral;1
223;Sugar décembre 02;2
224;Kingpin oct/nov 2003;2
225;Thrasher June 2004;2
226;Uno Skateboard julio 2002;2
227;Europe on a shoestring;2
228;Transworld Skateboarding december 2001;2
229;Kingpin dec/jan 2003;2
230;Transworld Skateboarding november 2001;2
231;Transworld Skateboarding march 2004;2
232;3Sesenta Especial 15 años solo surf;2
233;San Fransisco circus;1
234;Voyage au centre de la Terre;1
235;Model Kits 91;1
236;Des barbelés sur la prairie;1
237;4Riders winter 04;2
238;Onboard mars 2004;2
239;Burton catalog 2006;2
240;Thrasher april 2005;2
241;Connaissance du monde contemporain BEP2;2
242;Formulaires et Tables;2
243;BASS Spécial 5 Cordes;2
244;Hackers magazine;2
245;LOGIN SuSE Linux 9.2;2
246;PC UPDATE SOS dépannage jan/fév 2013;2
247;WINDOWS news Windows sans stress nov/déc 2003;2
248;Linux Magazine France nov 2001;2
249;GNU/Linux Pratique jan/fév 2006;2
250;Planète Linux openSUSE 11.0 juil/aou 08;2
251;Linux Loader dossier spécial oct/nov 2001;2
252;Linux+ nov/déc 2000;2
253;PC Utilities nov/déc 2003;2
254;Best of Web sept/oct 2000;2
255;PC MAX avril 2000;2
256;Internet Pratique hiver 2003;2
257;XP Solutions aou/sep 2004;2
258;Pêche Mouche sept/oct 2004;2
259;Mel Bay's complete book of bass technique;2
260;BASS  Spécial Bass Métal;2
261;Brochure d'accueil sept 2001;2
262;BASS Spécial Cordes;2
263;Guitar & Bass mars 95;2
264;Méthode de basse pour débutant;2
265;Pizzicato Funk for electric and acoustic bass;2
266;Rock&Folk mai 1996;2
267;SELECT stuff about music aug 1991;2
268;Rock, Slap & Funk Bass;2
269;BASS player aug 1995;2
270;BEST of CURE Hors Série;2
271;BASS  magazine juil/aou 1997;2
272;Guitar & Bass juin 95;2
273;BASS Spécial Groove;2
274;Computer music oct 2000;2
275;Ragga janvier 2003;2
276;RAGGA février 2003;2
277;RAGGA septembre 2001;2
278;RAGGA novembre 2000;2
279;RAGGA octobre 2000;2
280;RAGGA;2
281;RAGGA hors série Groove;2
282;RAGGA novembre 2001;2
283;RAGGA décembre 2002;2
284;Iconographie;2
285;Biophysique;2
286;Cours de Physique générale Electrodynamique;2
287;Cours de Physique générale Electrodynamique (suite);2
288;Métrologie;2
289;Introduction à l'électronique pour ingénieurs physiciens;2
290;Analyse numérique Notes de cours;2
291;Abacule;2
292;Abacule;2
293;Abacule;2
294;Abacule;2
295;PlayStation Magazine juin 2000;2
296;Polyrama 2004;2
297;Science & Vie Junior Le monde étrange des particules;2
298;COMSOL news 2004;2
299;Femlab 3 Multiphysics Modeling;2
300;Generation 4 novembre 98;2
301;Introduction à l a Physique Nucléaire et Corpusculaire;2
302;Résumé du cours de Droit;2
303;Formage des métaux;2
304;Pour la Science juillet 1998;2
305;Pour la Science mai 1996;2
306;La Recherche spécial juil/aou 1995;2
307;Time december 1999;2
308;La Recherche décembre 1999;2
